Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
55001,Bonkies,PS4,N/A,Party,Unknown  ,Studio Gauntlet  ,,,,,,,
55002,Bonkies,PC,N/A,Party,Unknown  ,Studio Gauntlet  ,,,,,,,
55003,Bonkies,NS,N/A,Party,Unknown  ,Studio Gauntlet  ,,,,,,,
55004,Book of Potions,PS3,2013,Misc,Sony Computer Entertainment  ,SCEE London Studio  ,,,,,,,
55005,Bookbound Brigade,PS4,2019,Action-Adventure,Intragames  ,Digital Tales  ,,,,,,,
55006,Bookbound Brigade,PC,2019,Action-Adventure,Intragames  ,Digital Tales  ,,,,,,,
55007,Bookbound Brigade,NS,2019,Action-Adventure,Intragames  ,Digital Tales  ,,,,,,,
55008,Boomerang Fu,NS,2020,Party,Cranky Watermelon  ,Cranky Watermelon  ,,,,,,,
55009,Boomerang Fu,XOne,2020,Party,Cranky Watermelon  ,Cranky Watermelon  ,,,,,,,
55010,Boomerang Fu,PC,2020,Party,Cranky Watermelon  ,Cranky Watermelon  ,,,,,,,
55011,Boomerang X,PC,N/A,Action,Unknown  ,DANG!  ,,,,,,,
55012,Boomerang X,NS,2021,Action,Devolver Digital  ,DANG!  ,,,,,,,
55013,Boost Beast,NS,2017,Puzzle,Arc System Works  ,Arc System Works  ,,,,,,,
55014,Borderlands 3,PC,2019,Shooter,2K Games  ,Gearbox Software  ,,,,,,,
55015,Borderlands 3,PS4,2019,Shooter,2K Games  ,Gearbox Software  ,,,,,,,
55016,Borderlands 3,XOne,2019,Shooter,2K Games  ,Gearbox Software  ,,,,,,,
55017,Borderlands Legendary Collection,NS,2020,Shooter,Take-Two Interactive  ,Gearbox Software  ,,,,,,,
55018,Borderlands: Game of the Year Edition,PS4,N/A,Shooter,Unknown  ,Gearbox Software  ,,,,,,,
55019,Borderlands: Game of the Year Edition,XOne,N/A,Shooter,Unknown  ,Gearbox Software  ,,,,,,,
55020,Boreal Blade,NS,N/A,Fighting,Unknown  ,Frozenbyte  ,,,,,,,
55021,Boreal Blade,PC,N/A,Fighting,Unknown  ,Frozenbyte  ,,,,,,,
55022,Bouncy Bullets,XOne,2019,Platform,Ratalaika Games  ,Ratalaika Games  ,,,,,,,
55023,Bouncy Bullets,PS4,2019,Platform,Ratalaika Games  ,Ratalaika Games  ,,,,,,,
55024,Bouncy Bullets,PSV,2019,Platform,Ratalaika Games  ,Ratalaika Games  ,,,,,,,
55025,Bouncy Bullets,NS,2019,Platform,Ratalaika Games  ,Ratalaika Games  ,,,,,,,
55026,Bound,PS4,2016,Platform,Sony Interactive Entertainment  ,Plastic  ,,,,,,,
55027,Bounty Battle,NS,N/A,Fighting,Unknown  ,DarkScreen Games  ,,,,,,,
55028,Bounty Battle,PC,N/A,Fighting,Unknown  ,DarkScreen Games  ,,,,,,,
55029,Bounty Battle,XOne,N/A,Fighting,Unknown  ,DarkScreen Games  ,,,,,,,
55030,Bounty Battle,PS4,N/A,Fighting,Unknown  ,DarkScreen Games  ,,,,,,,
55031,Box Box Boy!,3DS,2016,Platform,Nintendo  ,HAL Laboratory  ,,,,,,,
55032,BOX BOY! + BOX GIRL!,NS,2019,Puzzle,Nintendo  ,HAL Laboratory  ,,,,,,,
55033,BOX UP,WiiU,N/A,Puzzle,Unknown  ,RCMADIAX  ,,,,,,,
55034,Boxing,Int,1981,Sports,Mattel Electronics  ,Mattel  ,,,,,,,
55035,Boyfriend Dungeon,PC,2020,Action-Adventure,Kitfox Games  ,Kitfox Games  ,,,,,,,
55036,Boyfriend Dungeon,NS,2021,Action-Adventure,Kitfox Games  ,Kitfox Games  ,,,,,,,
55037,BPM: Bullets Per Minute,XOne,2020,Shooter,Awe Interactive  ,Awe Interactive  ,,,,,,,
55038,BPM: Bullets Per Minute,PS4,2020,Shooter,Awe Interactive  ,Awe Interactive  ,,,,,,,
55039,BPM: Bullets Per Minute,PC,2020,Shooter,Awe Interactive  ,Awe Interactive  ,,,,,,,
55040,Bramble: The Mountain King,PC,N/A,Adventure,Unknown  ,Dimfrost Studio  ,,,,,,,
55041,Brass Tactics,PC,N/A,Strategy,Unknown  ,Hidden Path Entertainment  ,,,,,,,
55042,Brave Dungeon + Dark Witch's Story: COMBAT,NS,2017,Role-Playing,Inside System  ,Inside System  ,,,,,,,
55043,Bravely Default II,PC,N/A,Role-Playing,Unknown  ,Silicon Studio  ,,,,,,,
55044,Brawl,NS,2018,Platform,QubicGames  ,QubicGames  ,,,,,,,
55045,Brawlhalla,PC,N/A,Fighting,Unknown  ,Blue Mammoth Games  ,,,,,,,
55046,Brawlout,PC,N/A,Fighting,Unknown  ,Angry Mob Games  ,,,,,,,
55047,Brawlout,XOne,N/A,Fighting,Unknown  ,Angry Mob Games  ,,,,,,,
55048,Brawlout,PS4,N/A,Fighting,Unknown  ,Angry Mob Games  ,,,,,,,
55049,Break in,WiiU,N/A,Sports,Unknown  ,Konami  ,,,,,,,
55050,Breath of Fire 6,PC,N/A,Role-Playing,Unknown  ,Capcom  ,,,,,,,
55051,Breath of Fire 6,iOS,N/A,Role-Playing,Unknown  ,Capcom  ,,,,,,,
55052,Breath of Fire 6,And,N/A,Role-Playing,Unknown  ,Capcom  ,,,,,,,
55053,Breathing Fear,NS,2019,Adventure,Qubic Games  ,Drageus Games / QubicGames S.A.  ,,,,,,,
55054,BRICK RACE,WiiU,N/A,Puzzle,Unknown  ,RCMADIAX  ,,,,,,,
55055,Bridge Constructor Playground,WiiU,N/A,Puzzle,Unknown  ,TBD  ,,,,,,,
55056,Bridge Constructor Portal,NS,2018,Simulation,Headup Games  ,ClockStone  ,,,,,,,
55057,Bridge Constructor Portal,iOS,N/A,Simulation,Unknown  ,ClockStoneSoftware  ,,,,,,,
55058,Bridge Constructor: The Walking Dead,All,2020,Puzzle,Headup Games  ,ClockStone  ,,,,,,,
55059,Brigandine: The Legend of Runersia,NS,2020,Strategy,Happinet  ,Matrix Software  ,,,,,,,
55060,Bright Memory,PC,2019,Shooter,FYQD Personal Studio  ,FYQD Personal Studio  ,,,,,,,
55061,Bright Memory,All,2019,Shooter,Playism  ,FYQD Personal Studio  ,,,,,,,
55062,Bright Memory,XS,N/A,Shooter,Unknown  ,FYQD Personal Studio  ,,,,,,,
55063,Bright Memory Infinite,XS,2021,Shooter,Playism  ,FYQD Personal Studio  ,,,,,,,
55064,Bright Memory: Infinite,PS4,2021,Shooter,Playism  ,FYQD Personal Studio  ,,,,,,,
55065,Bright Memory: Infinite,XOne,2021,Shooter,Playism  ,FYQD Personal Studio  ,,,,,,,
55066,Bright Memory: Infinite,PC,2021,Shooter,Playism  ,FYQD Personal Studio  ,,,,,,,
55067,Bright Memory: Infinite,PS5,N/A,Shooter,Unknown  ,FYQD Personal Studio  ,,,,,,,
55068,Broforce,NS,2018,Action,Devolver Digital  ,Free Lives Games  ,,,,,,,
55069,Broforce,Linux,2015,Action,Devolver Digital  ,Free Lives Games  ,,,,,,,
55070,Broken Delusion,PS4,2019,Adventure,bilibili  ,Zhaijidian  ,,,,,,,
55071,Broken Delusion,PC,2019,Adventure,bilibili  ,Zhaijidian  ,,,,,,,
55072,Broken Delusion,NS,2019,Adventure,bilibili  ,Zhaijidian  ,,,,,,,
55073,Broken Pieces,XS,N/A,Adventure,Unknown  ,Elseware Experience  ,,,,,,,
55074,Broken Pieces,XOne,N/A,Adventure,Unknown  ,Elseware Experience  ,,,,,,,
55075,Broken Pieces,PS5,N/A,Adventure,Unknown  ,Elseware Experience  ,,,,,,,
55076,Broken Pieces,PS4,N/A,Adventure,Unknown  ,Elseware Experience  ,,,,,,,
55077,Broken Pieces,PC,N/A,Adventure,Unknown  ,Elseware Experience  ,,,,,,,
55078,Broken Sword 5: The Serpent's Curse,NS,2018,Adventure,Revolution Software  ,Revolution Software  ,,,,,,,
55079,Brothers: A Tale of Two Sons,NS,2019,Adventure,505 Games  ,Starbreeze Studios  ,,,,,,,
55080,Brutal Legend,All,2009,Action-Adventure,Electronic Arts  ,Double Fine Productions  ,,,,,,,
55081,Bubble Bobble 4 Friends,NS,2020,Action,ININ Games  ,Taito  ,,,,,,,
55082,Bubble Bobble 4 Friends: The Baron is Back!,PS4,2020,Action,Taito  ,Taito  ,,,,,,,
55083,Bubsy: Paws on Fire!,PS4,2019,Platform,Accolade  ,Choice Provisions  ,,,,,,,
55084,Bubsy: Paws on Fire!,NS,2019,Platform,Accolade  ,Choice Provisions  ,,,,,,,
55085,Bubsy: Paws on Fire!,PC,2019,Platform,Accolade  ,Choice Provisions  ,,,,,,,
55086,Bubsy: The Woolies Strike Back,PC,2017,Platform,Accolade  ,Black Forest Games  ,,2.0,,,,,
55087,Buck Rogers: Planet of Zoom,CV,N/A,Shooter,Unknown  ,Sega  ,,,,,,,
55088,Bug Fables: The Everlasting Sapling,NS,2020,Role-Playing,Unknown  ,Moonsprout Games  ,,,,,,,
55089,Bug Fables: The Everlasting Sapling,PC,N/A,Role-Playing,Unknown  ,Moonsprout Games  ,,,,,,,
55090,Bug Fables: The Everlasting Sapling,PS4,N/A,Role-Playing,Unknown  ,Moonsprout Games  ,,,,,,,
55091,Bug Fables: The Everlasting Sapling,XOne,N/A,Role-Playing,Unknown  ,Moonsprout Games  ,,,,,,,
55092,Bugs vs. Tanks!,3DS,2013,Action,Level 5  ,Natsume Atari  ,7.5,,,,,,
55093,Bugsnax,PS5,2020,Adventure,Young Horses  ,Young Horses  ,,,,,,,
55094,Bugsnax,PS4,2020,Adventure,Young Horses  ,Young Horses  ,,,,,,,
55095,Bugsnax,PC,2020,Adventure,Young Horses  ,Young Horses  ,,,,,,,
55096,Bulb Boy,NS,2017,Adventure,Bulbware  ,Bulbware  ,,,,,,,
55097,Bullet Witch,PC,N/A,Action,Unknown  ,Marvelous  ,,5.0,,,,,
55098,Bulletstorm: Duke of Switch Edition,NS,N/A,Shooter,Unknown  ,People Can Fly  ,,,,,,,
55099,Bump 'n' Jump,CV,1984,Racing,Coleco  ,Data East  ,,,,,,,
55100,Bump 'N' Jump,Int,1983,Racing,Mattel Electronics  ,Technology Associates  ,,,,,,,
55101,Burger Time,CV,N/A,Platform,Unknown  ,Data East  ,,,,,,,
55102,BurgerTime,Int,1983,Platform,Mattel Electronics  ,Mattel  ,,,,,,,
55103,BurgerTime Party!,NS,2019,Action,Xseed Games  ,G-mode  ,,,,,,,
55104,Burn Cycle,CDi,1994,Adventure,Philips Interactive Media  ,TripMedia  ,,,,,,,
55105,Burnout Paradise Remastered,NS,2020,Racing,Electronic Arts  ,Criterion Games  ,,,,,,,
55106,"Bury Me, My Love",NS,2019,Visual Novel,Plug In Digital  ,The Pixel Hunt  ,,,,,,,
55107,Bustafellows,PC,N/A,Visual Novel,Unknown  ,Nippon Cultural Broadcasting eXtend  ,,,,,,,
55108,Bustafellows,NS,N/A,Visual Novel,Unknown  ,Nippon Cultural Broadcasting eXtend  ,,,,,,,
55109,Butcher,NS,2017,Action,Crunching Koalas  ,Transhuman Design  ,,,,,,,
55110,Button City,XOne,N/A,Adventure,Unknown  ,Subliminal  ,,,,,,,
55111,Button City,XS,N/A,Adventure,Unknown  ,Subliminal  ,,,,,,,
55112,Button City,PS5,N/A,Adventure,Unknown  ,Subliminal  ,,,,,,,
55113,Button City,PS4,N/A,Adventure,Unknown  ,Subliminal  ,,,,,,,
55114,Button City,PC,N/A,Adventure,Unknown  ,Subliminal  ,,,,,,,
55115,Button City,NS,N/A,Adventure,Unknown  ,Subliminal  ,,,,,,,
55116,Buzz Bombers,Int,1983,Shooter,Mattel Electronics  ,Mattel  ,,,,,,,
55117,Bye-Bye Box Boy!,3DS,2017,Platform,Nintendo  ,HAL Laboratory  ,,,,,,,
55118,Cadence of Hyrule - Crypt of the NecroDancer feat. The Legend of Zelda,NS,2019,Music,Nintendo  ,Brace Yourself Games  ,9.5,,,,,,
